gene_id,gene_name,gene_biotype,sample,log2_counts
ENSG00000004864,SLC25A13,protein_coding,CTRL,3.622969515360755
ENSG00000004864,SLC25A13,protein_coding,EZH,3.926294259537385
ENSG00000004866,ST7,protein_coding,CTRL,2.265276534804205
ENSG00000004866,ST7,protein_coding,EZH,2.544283340830029
ENSG00000004897,CDC27,protein_coding,CTRL,3.439057547505098
ENSG00000004897,CDC27,protein_coding,EZH,3.488991107315472
ENSG00000004961,HCCS,protein_coding,CTRL,3.3649764466920096
ENSG00000004961,HCCS,protein_coding,EZH,3.3892525646225655
ENSG00000004975,DVL2,protein_coding,CTRL,3.71606372574693
ENSG00000004975,DVL2,protein_coding,EZH,3.688002293770731
ENSG00000005007,UPF1,protein_coding,CTRL,4.966693631995751
ENSG00000005007,UPF1,protein_coding,EZH,5.053437224825255
ENSG00000005020,SKAP2,protein_coding,CTRL,3.71493089679055
ENSG00000005020,SKAP2,protein_coding,EZH,3.2707534260807054
ENSG00000005022,SLC25A5,protein_coding,CTRL,9.106222667097864
ENSG00000005022,SLC25A5,protein_coding,EZH,8.951717303995904
ENSG00000005059,MCUB,protein_coding,CTRL,2.9649111170053595
ENSG00000005059,MCUB,protein_coding,EZH,1.959110156147668
ENSG00000005073,HOXA11,protein_coding,CTRL,2.7431202718285905
ENSG00000005073,HOXA11,protein_coding,EZH,2.842566227712891
ENSG00000005075,POLR2J,protein_coding,CTRL,5.271561542430871
ENSG00000005075,POLR2J,protein_coding,EZH,5.397431752172222
ENSG00000005100,DHX33,protein_coding,CTRL,3.5962669263572
ENSG00000005100,DHX33,protein_coding,EZH,3.4745482623991135
ENSG00000005108,THSD7A,protein_coding,CTRL,1.40750266627803
ENSG00000005108,THSD7A,protein_coding,EZH,1.8464333348669604
ENSG00000005156,LIG3,protein_coding,CTRL,2.9233528384516165
ENSG00000005156,LIG3,protein_coding,EZH,2.948124912954352
ENSG00000005175,RPAP3,protein_coding,CTRL,3.249845470552307
ENSG00000005175,RPAP3,protein_coding,EZH,3.1968491882890553
ENSG00000005187,ACSM3,protein_coding,CTRL,2.8073993311596306
ENSG00000005187,ACSM3,protein_coding,EZH,3.2001905800534254
ENSG00000005189,REXO5,protein_coding,CTRL,3.5248391167254516
ENSG00000005189,REXO5,protein_coding,EZH,2.688713519912938
ENSG00000005194,CIAPIN1,protein_coding,CTRL,3.896149476212063
ENSG00000005194,CIAPIN1,protein_coding,EZH,3.9037984950692977
ENSG00000005206,SPPL2B,protein_coding,CTRL,3.3304917993516256
ENSG00000005206,SPPL2B,protein_coding,EZH,3.6687307769003343
ENSG00000005238,FAM214B,protein_coding,CTRL,0.8077662277100015
ENSG00000005238,FAM214B,protein_coding,EZH,0.78839941178742
ENSG00000005249,PRKAR2B,protein_coding,CTRL,0.48333132440366183
ENSG00000005249,PRKAR2B,protein_coding,EZH,0.29970319097547315
ENSG00000005302,MSL3,protein_coding,CTRL,2.0286799242606026
ENSG00000005302,MSL3,protein_coding,EZH,2.216882707024109
ENSG00000005339,CREBBP,protein_coding,CTRL,2.9451309086135264
ENSG00000005339,CREBBP,protein_coding,EZH,2.865151344972408
ENSG00000005379,TSPOAP1,protein_coding,CTRL,5.39428825662166
ENSG00000005379,TSPOAP1,protein_coding,EZH,5.360312776173238
ENSG00000005381,MPO,protein_coding,CTRL,11.485215266454317
ENSG00000005381,MPO,protein_coding,EZH,11.412016932616517
ENSG00000005436,GCFC2,protein_coding,CTRL,2.1912058767508644
ENSG00000005436,GCFC2,protein_coding,EZH,2.1653642601429848
ENSG00000005448,WDR54,protein_coding,CTRL,3.995513181261552
ENSG00000005448,WDR54,protein_coding,EZH,3.63754122181382
ENSG00000005469,CROT,protein_coding,CTRL,0.842516638311947
ENSG00000005469,CROT,protein_coding,EZH,0.7312256036434867
ENSG00000005471,ABCB4,protein_coding,CTRL,0.0141106192100363
ENSG00000005471,ABCB4,protein_coding,EZH,0.01036260844372223
ENSG00000005483,KMT2E,protein_coding,CTRL,3.851249203272397
ENSG00000005483,KMT2E,protein_coding,EZH,3.420748596618509
ENSG00000005486,RHBDD2,protein_coding,CTRL,3.34665944387215
ENSG00000005486,RHBDD2,protein_coding,EZH,3.7941761668486262
ENSG00000005700,IBTK,protein_coding,CTRL,3.459761792380125
ENSG00000005700,IBTK,protein_coding,EZH,3.213385765579242
ENSG00000005801,ZNF195,protein_coding,CTRL,2.298405657340272
ENSG00000005801,ZNF195,protein_coding,EZH,1.876358999147284
ENSG00000005810,MYCBP2,protein_coding,CTRL,4.562057477395794
ENSG00000005810,MYCBP2,protein_coding,EZH,4.505762882729625
ENSG00000005812,FBXL3,protein_coding,CTRL,2.7991660878238673
ENSG00000005812,FBXL3,protein_coding,EZH,2.716039378677508
ENSG00000005844,ITGAL,protein_coding,CTRL,0.42256065938843496
ENSG00000005844,ITGAL,protein_coding,EZH,0.37349848290641297
ENSG00000005889,ZFX,protein_coding,CTRL,2.062361882554385
ENSG00000005889,ZFX,protein_coding,EZH,2.0371898701190863
ENSG00000005893,LAMP2,protein_coding,CTRL,4.6372736143678885
ENSG00000005893,LAMP2,protein_coding,EZH,4.381787139119885
ENSG00000005961,ITGA2B,protein_coding,CTRL,0.07061719719655896
ENSG00000005961,ITGA2B,protein_coding,EZH,0.1896445977903706
ENSG00000005981,ASB4,protein_coding,CTRL,0.00790763519303139
ENSG00000005981,ASB4,protein_coding,EZH,0.02307689723823268
ENSG00000006007,GDE1,protein_coding,CTRL,3.834231281621915
ENSG00000006007,GDE1,protein_coding,EZH,3.632559526422101
ENSG00000006015,REX1BD,protein_coding,CTRL,3.179574768650844
ENSG00000006015,REX1BD,protein_coding,EZH,3.5063272086162396
ENSG00000006016,CRLF1,protein_coding,CTRL,0.06027128683045236
ENSG00000006016,CRLF1,protein_coding,EZH,0.06185245171527645
ENSG00000006025,AC003665.1,protein_coding,CTRL,2.3303344791948546
ENSG00000006025,AC003665.1,protein_coding,EZH,2.6436712432507
ENSG00000006047,YBX2,protein_coding,CTRL,0.09166382130015333
ENSG00000006047,YBX2,protein_coding,EZH,0.16901259487795692
ENSG00000006062,MAP3K14,protein_coding,CTRL,1.5423420122564009
ENSG00000006062,MAP3K14,protein_coding,EZH,2.0302979549368305
ENSG00000006125,AP2B1,protein_coding,CTRL,4.770616996225676
ENSG00000006125,AP2B1,protein_coding,EZH,4.776053184704372
ENSG00000006194,ZNF263,protein_coding,CTRL,3.1822792983792287
ENSG00000006194,ZNF263,protein_coding,EZH,3.0960869169262444
ENSG00000006282,SPATA20,protein_coding,CTRL,2.2135607916382667
ENSG00000006282,SPATA20,protein_coding,EZH,2.604721303428535
ENSG00000006327,TNFRSF12A,protein_coding,CTRL,1.8708898974684296
ENSG00000006327,TNFRSF12A,protein_coding,EZH,1.919553905727927
ENSG00000006377,DLX6,protein_coding,CTRL,0.05205747595569474
ENSG00000006377,DLX6,protein_coding,EZH,0.0609005860452016
ENSG00000006432,MAP3K9,protein_coding,CTRL,0.1668862294940542
ENSG00000006432,MAP3K9,protein_coding,EZH,0.16918164078311754
ENSG00000006451,RALA,protein_coding,CTRL,3.756249861247617
ENSG00000006451,RALA,protein_coding,EZH,3.737878673364366
ENSG00000006453,BAIAP2L1,protein_coding,CTRL,0.05207868694419394
ENSG00000006453,BAIAP2L1,protein_coding,EZH,0.0810253523446654
ENSG00000006459,KDM7A,protein_coding,CTRL,1.3363940535023977
ENSG00000006459,KDM7A,protein_coding,EZH,0.9955858807524064
ENSG00000006468,ETV1,protein_coding,CTRL,1.4502007357200395
ENSG00000006468,ETV1,protein_coding,EZH,1.050841451702448
ENSG00000006530,AGK,protein_coding,CTRL,1.6477695685869902
ENSG00000006530,AGK,protein_coding,EZH,1.7276392172102195
ENSG00000006534,ALDH3B1,protein_coding,CTRL,2.340606067558573
ENSG00000006534,ALDH3B1,protein_coding,EZH,2.003430742985252
ENSG00000006576,PHTF2,protein_coding,CTRL,1.7696645494911958
ENSG00000006576,PHTF2,protein_coding,EZH,1.554357625117155
ENSG00000006607,FARP2,protein_coding,CTRL,1.868355744241544
ENSG00000006607,FARP2,protein_coding,EZH,1.6422123640033566
ENSG00000006625,GGCT,protein_coding,CTRL,5.363344773528178
ENSG00000006625,GGCT,protein_coding,EZH,5.295996020285071
ENSG00000006634,DBF4,protein_coding,CTRL,3.2363110121767806
ENSG00000006634,DBF4,protein_coding,EZH,3.0414004783591
ENSG00000006652,IFRD1,protein_coding,CTRL,3.150720420896036
ENSG00000006652,IFRD1,protein_coding,EZH,3.2610589622524393
ENSG00000006695,COX10,protein_coding,CTRL,2.67696916064061
ENSG00000006695,COX10,protein_coding,EZH,2.713866166907178
ENSG00000006704,GTF2IRD1,protein_coding,CTRL,0.9782523679936994
ENSG00000006704,GTF2IRD1,protein_coding,EZH,0.02046565624823857
ENSG00000006712,PAF1,protein_coding,CTRL,4.575684015035537
ENSG00000006712,PAF1,protein_coding,EZH,4.543071089313685
ENSG00000006715,VPS41,protein_coding,CTRL,2.595074619314468
ENSG00000006715,VPS41,protein_coding,EZH,2.6494086890633866
ENSG00000006740,ARHGAP44,protein_coding,CTRL,0.1057302077414084
ENSG00000006740,ARHGAP44,protein_coding,EZH,0.27159593314044406
ENSG00000006744,ELAC2,protein_coding,CTRL,3.5998889211095815
ENSG00000006744,ELAC2,protein_coding,EZH,3.7529096715226142
ENSG00000006747,SCIN,protein_coding,CTRL,0.00313804085942707
ENSG00000006747,SCIN,protein_coding,EZH,0.00230219723316365
ENSG00000006757,PNPLA4,protein_coding,CTRL,1.6393213706013632
ENSG00000006757,PNPLA4,protein_coding,EZH,1.7541536149653725
ENSG00000006831,ADIPOR2,protein_coding,CTRL,5.102492132620802
ENSG00000006831,ADIPOR2,protein_coding,EZH,5.194504073403764
ENSG00000006837,CDKL3,protein_coding,CTRL,0.10077991370747384
ENSG00000006837,CDKL3,protein_coding,EZH,0.05834891709688584
ENSG00000007047,MARK4,protein_coding,CTRL,1.422829590682834
ENSG00000007047,MARK4,protein_coding,EZH,1.5970310962161345
ENSG00000007080,CCDC124,protein_coding,CTRL,5.410479420721238
ENSG00000007080,CCDC124,protein_coding,EZH,5.544216442353511
ENSG00000007129,CEACAM21,protein_coding,CTRL,0.10679063394855424
ENSG00000007129,CEACAM21,protein_coding,EZH,0.04008543163293536
ENSG00000007168,PAFAH1B1,protein_coding,CTRL,3.1687887404627473
ENSG00000007168,PAFAH1B1,protein_coding,EZH,3.187807231686115
ENSG00000007202,KIAA0100,protein_coding,CTRL,5.537215364652125
ENSG00000007202,KIAA0100,protein_coding,EZH,5.8494165607492645
ENSG00000007237,GAS7,protein_coding,CTRL,0.9391318790598908
ENSG00000007237,GAS7,protein_coding,EZH,0.4671465875840336
ENSG00000007255,TRAPPC6A,protein_coding,CTRL,4.2116518819149995
ENSG00000007255,TRAPPC6A,protein_coding,EZH,4.322284691916358
ENSG00000007264,MATK,protein_coding,CTRL,4.975193603844609
ENSG00000007264,MATK,protein_coding,EZH,5.522434090233723
ENSG00000007341,ST7L,protein_coding,CTRL,1.37774110524414
ENSG00000007341,ST7L,protein_coding,EZH,1.5029780199923413
ENSG00000007372,PAX6,protein_coding,CTRL,0.32679685130062164
ENSG00000007372,PAX6,protein_coding,EZH,0.0418604288570113
ENSG00000007376,RPUSD1,protein_coding,CTRL,4.511844197914116
ENSG00000007376,RPUSD1,protein_coding,EZH,4.884827701420575
ENSG00000007384,RHBDF1,protein_coding,CTRL,0.07952330548814054
ENSG00000007384,RHBDF1,protein_coding,EZH,0.2404534869186682
ENSG00000007392,LUC7L,protein_coding,CTRL,3.19681736583354
ENSG00000007392,LUC7L,protein_coding,EZH,3.138232786199007
ENSG00000007516,BAIAP3,protein_coding,CTRL,0.05251495637550008
ENSG00000007516,BAIAP3,protein_coding,EZH,0.00869056735661579
ENSG00000007520,TSR3,protein_coding,CTRL,4.701693711103521
ENSG00000007520,TSR3,protein_coding,EZH,4.721383480293829
ENSG00000007541,PIGQ,protein_coding,CTRL,2.3800016910903175
ENSG00000007541,PIGQ,protein_coding,EZH,2.6015339733347336
ENSG00000007545,CRAMP1,protein_coding,CTRL,2.171271511823928
ENSG00000007545,CRAMP1,protein_coding,EZH,2.0945109400003807
ENSG00000007866,TEAD3,protein_coding,CTRL,2.133425328524077
ENSG00000007866,TEAD3,protein_coding,EZH,1.9493867471598991
ENSG00000007923,DNAJC11,protein_coding,CTRL,4.830969210571546
ENSG00000007923,DNAJC11,protein_coding,EZH,5.047994547817296
ENSG00000007944,MYLIP,protein_coding,CTRL,2.463601230936219
ENSG00000007944,MYLIP,protein_coding,EZH,3.30695507503171
ENSG00000007968,E2F2,protein_coding,CTRL,3.9217040901936855
ENSG00000007968,E2F2,protein_coding,EZH,3.938753393812516
ENSG00000008018,PSMB1,protein_coding,CTRL,6.507823965820108
ENSG00000008018,PSMB1,protein_coding,EZH,6.391668144981384
ENSG00000008083,JARID2,protein_coding,CTRL,3.7604705152248696
ENSG00000008083,JARID2,protein_coding,EZH,3.990747634027377
ENSG00000008086,CDKL5,protein_coding,CTRL,0.02544174309040787
ENSG00000008086,CDKL5,protein_coding,EZH,0.03869558528702126
ENSG00000008128,CDK11A,protein_coding,CTRL,1.2564025696554717
ENSG00000008128,CDK11A,protein_coding,EZH,1.5836589208832577
ENSG00000008130,NADK,protein_coding,CTRL,4.723064856754028
ENSG00000008130,NADK,protein_coding,EZH,4.852866223425881
ENSG00000008226,DLEC1,protein_coding,CTRL,0.03889329729087754
ENSG00000008226,DLEC1,protein_coding,EZH,0.12604665937620002
ENSG00000008256,CYTH3,protein_coding,CTRL,1.3999275286541528
ENSG00000008256,CYTH3,protein_coding,EZH,1.529133353246647
ENSG00000008277,ADAM22,protein_coding,CTRL,1.44489298203875
ENSG00000008277,ADAM22,protein_coding,EZH,1.5418410784745646
ENSG00000008282,SYPL1,protein_coding,CTRL,5.183725552237689
ENSG00000008282,SYPL1,protein_coding,EZH,4.555426173558094
ENSG00000008283,CYB561,protein_coding,CTRL,0.24662051722758532
ENSG00000008283,CYB561,protein_coding,EZH,0.25013385056978743
ENSG00000008294,SPAG9,protein_coding,CTRL,2.8821048360078385
ENSG00000008294,SPAG9,protein_coding,EZH,2.827100015510191
ENSG00000008300,CELSR3,protein_coding,CTRL,1.637447730611454
ENSG00000008300,CELSR3,protein_coding,EZH,1.9041339859672393
ENSG00000008324,SS18L2,protein_coding,CTRL,4.228677566870827
ENSG00000008324,SS18L2,protein_coding,EZH,4.31441633045372
ENSG00000008382,MPND,protein_coding,CTRL,3.463662721119339
ENSG00000008382,MPND,protein_coding,EZH,3.2751520960535103
ENSG00000008394,MGST1,protein_coding,CTRL,4.747562733938719
ENSG00000008394,MGST1,protein_coding,EZH,4.506279282877095
ENSG00000008405,CRY1,protein_coding,CTRL,2.550855541953767
ENSG00000008405,CRY1,protein_coding,EZH,2.617493473722825
ENSG00000008441,NFIX,protein_coding,CTRL,1.5598707984909812
ENSG00000008441,NFIX,protein_coding,EZH,1.7021544085377576
ENSG00000008513,ST3GAL1,protein_coding,CTRL,2.898706164670894
ENSG00000008513,ST3GAL1,protein_coding,EZH,2.656883764721316
ENSG00000008516,MMP25,protein_coding,CTRL,0.0255768582879641
ENSG00000008516,MMP25,protein_coding,EZH,0.05568944222788776
ENSG00000008517,IL32,protein_coding,CTRL,0.02258488071897264
ENSG00000008517,IL32,protein_coding,EZH,0.01659888475235247
ENSG00000008710,PKD1,protein_coding,CTRL,3.2021184122862585
ENSG00000008710,PKD1,protein_coding,EZH,3.150870706360438
ENSG00000008735,MAPK8IP2,protein_coding,CTRL,0.10338391246627304
ENSG00000008735,MAPK8IP2,protein_coding,EZH,0.3403037861201619
ENSG00000008838,MED24,protein_coding,CTRL,4.107642359154544
ENSG00000008838,MED24,protein_coding,EZH,4.413185772383313
ENSG00000008853,RHOBTB2,protein_coding,CTRL,2.20559736720046
ENSG00000008853,RHOBTB2,protein_coding,EZH,2.134794928197951
ENSG00000008869,HEATR5B,protein_coding,CTRL,2.9464307993805687
ENSG00000008869,HEATR5B,protein_coding,EZH,2.56122885006275
ENSG00000008952,SEC62,protein_coding,CTRL,3.152239089095263
ENSG00000008952,SEC62,protein_coding,EZH,2.9979132315635515
ENSG00000008988,RPS20,protein_coding,CTRL,7.973972273876405
ENSG00000008988,RPS20,protein_coding,EZH,8.17789096400751
ENSG00000009307,CSDE1,protein_coding,CTRL,5.689921649806218
ENSG00000009307,CSDE1,protein_coding,EZH,5.604230315287377
ENSG00000009335,UBE3C,protein_coding,CTRL,3.875077320379384
ENSG00000009335,UBE3C,protein_coding,EZH,4.171664778724169
ENSG00000009413,REV3L,protein_coding,CTRL,2.635493373696613
ENSG00000009413,REV3L,protein_coding,EZH,2.272465002658292
ENSG00000009780,FAM76A,protein_coding,CTRL,1.6304191366349394
ENSG00000009780,FAM76A,protein_coding,EZH,1.4946977393305003
ENSG00000009790,TRAF3IP3,protein_coding,CTRL,1.984114978127107
ENSG00000009790,TRAF3IP3,protein_coding,EZH,2.0656962922778312
ENSG00000009830,POMT2,protein_coding,CTRL,2.183117781999807
ENSG00000009830,POMT2,protein_coding,EZH,2.433120678169224
ENSG00000009844,VTA1,protein_coding,CTRL,3.91731179811772
ENSG00000009844,VTA1,protein_coding,EZH,3.750966735192974
ENSG00000009954,BAZ1B,protein_coding,CTRL,5.355378379240281
ENSG00000009954,BAZ1B,protein_coding,EZH,5.057244092444801
ENSG00000010017,RANBP9,protein_coding,CTRL,4.508047697092488
ENSG00000010017,RANBP9,protein_coding,EZH,4.176234141863388
ENSG00000010072,SPRTN,protein_coding,CTRL,1.6143618835265157
ENSG00000010072,SPRTN,protein_coding,EZH,1.4974281046739262
ENSG00000010165,EEF1AKNMT,protein_coding,CTRL,4.564724460735125
ENSG00000010165,EEF1AKNMT,protein_coding,EZH,4.768896528093371
ENSG00000010219,DYRK4,protein_coding,CTRL,1.6812794693420523
ENSG00000010219,DYRK4,protein_coding,EZH,1.9568730096629627
ENSG00000010244,ZNF207,protein_coding,CTRL,3.8224235285267065
ENSG00000010244,ZNF207,protein_coding,EZH,3.786742931402118
ENSG00000010256,UQCRC1,protein_coding,CTRL,5.557282302316308
ENSG00000010256,UQCRC1,protein_coding,EZH,5.564357433710567
ENSG00000010270,STARD3NL,protein_coding,CTRL,3.2803679283538782
ENSG00000010270,STARD3NL,protein_coding,EZH,3.433565728712062
ENSG00000010292,NCAPD2,protein_coding,CTRL,6.353240739300297
ENSG00000010292,NCAPD2,protein_coding,EZH,6.02746881738709
ENSG00000010295,IFFO1,protein_coding,CTRL,2.962954151194123
ENSG00000010295,IFFO1,protein_coding,EZH,2.911365281706541
ENSG00000010310,GIPR,protein_coding,CTRL,0.2567367266852705
ENSG00000010310,GIPR,protein_coding,EZH,0.2691782783043679
ENSG00000010318,PHF7,protein_coding,CTRL,2.186500132507755
ENSG00000010318,PHF7,protein_coding,EZH,2.602241572668748
ENSG00000010319,SEMA3G,protein_coding,CTRL,0.22868648784935783
ENSG00000010319,SEMA3G,protein_coding,EZH,0.2852379463428745
ENSG00000010322,NISCH,protein_coding,CTRL,3.2556789968066417
ENSG00000010322,NISCH,protein_coding,EZH,3.478739250851404
ENSG00000010361,FUZ,protein_coding,CTRL,3.187379251178185
ENSG00000010361,FUZ,protein_coding,EZH,2.9861083565147855
ENSG00000010379,SLC6A13,protein_coding,CTRL,0.02559478285643445
ENSG00000010379,SLC6A13,protein_coding,EZH,0.08578253547087941
ENSG00000010404,IDS,protein_coding,CTRL,0.32888521844522006
ENSG00000010404,IDS,protein_coding,EZH,0.3825662654584112
ENSG00000010539,ZNF200,protein_coding,CTRL,2.382286948916298
ENSG00000010539,ZNF200,protein_coding,EZH,1.9111355554752123
ENSG00000010610,CD4,protein_coding,CTRL,3.5654017398972417
ENSG00000010610,CD4,protein_coding,EZH,2.930738776828498
ENSG00000010626,LRRC23,protein_coding,CTRL,0.6221408195474062
ENSG00000010626,LRRC23,protein_coding,EZH,0.6013215368515377
ENSG00000010671,BTK,protein_coding,CTRL,5.1545037694251015
ENSG00000010671,BTK,protein_coding,EZH,4.859133813334698
ENSG00000010704,HFE,protein_coding,CTRL,0.00642138311482518
ENSG00000010704,HFE,protein_coding,EZH,0.01409133413094731
ENSG00000010803,SCMH1,protein_coding,CTRL,4.100635681171942
ENSG00000010803,SCMH1,protein_coding,EZH,4.152195297435618
ENSG00000010810,FYN,protein_coding,CTRL,2.753217632817255
ENSG00000010810,FYN,protein_coding,EZH,1.8249422275504632
ENSG00000010818,HIVEP2,protein_coding,CTRL,2.4969581942348773
ENSG00000010818,HIVEP2,protein_coding,EZH,1.9723399005584308
ENSG00000011007,ELOA,protein_coding,CTRL,3.970792597102153
